dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,continentExp
01/07/2020,1,7,2020,279,13,Afghanistan,AF,Asia
30/06/2020,30,6,2020,271,12,Afghanistan,AF,Asia
29/06/2020,29,6,2020,351,18,Afghanistan,AF,Asia
28/06/2020,28,6,2020,165,20,Afghanistan,AF,Asia
27/06/2020,27,6,2020,276,8,Afghanistan,AF,Asia
26/06/2020,26,6,2020,460,36,Afghanistan,AF,Asia
25/06/2020,25,6,2020,234,21,Afghanistan,AF,Asia
24/06/2020,24,6,2020,338,20,Afghanistan,AF,Asia
23/06/2020,23,6,2020,310,17,Afghanistan,AF,Asia
22/06/2020,22,6,2020,409,12,Afghanistan,AF,Asia
21/06/2020,21,6,2020,546,21,Afghanistan,AF,Asia
20/06/2020,20,6,2020,346,2,Afghanistan,AF,Asia
19/06/2020,19,6,2020,658,42,Afghanistan,AF,Asia
18/06/2020,18,6,2020,564,13,Afghanistan,AF,Asia
17/06/2020,17,6,2020,783,13,Afghanistan,AF,Asia
16/06/2020,16,6,2020,761,7,Afghanistan,AF,Asia
15/06/2020,15,6,2020,664,20,Afghanistan,AF,Asia
14/06/2020,14,6,2020,556,5,Afghanistan,AF,Asia
13/06/2020,13,6,2020,656,20,Afghanistan,AF,Asia
12/06/2020,12,6,2020,747,21,Afghanistan,AF,Asia
11/06/2020,11,6,2020,684,21,Afghanistan,AF,Asia
10/06/2020,10,6,2020,542,15,Afghanistan,AF,Asia
09/06/2020,9,6,2020,575,12,Afghanistan,AF,Asia
08/06/2020,8,6,2020,791,30,Afghanistan,AF,Asia
07/06/2020,7,6,2020,582,18,Afghanistan,AF,Asia
06/06/2020,6,6,2020,915,9,Afghanistan,AF,Asia
05/06/2020,5,6,2020,787,6,Afghanistan,AF,Asia
04/06/2020,4,6,2020,758,24,Afghanistan,AF,Asia
03/06/2020,3,6,2020,759,5,Afghanistan,AF,Asia
02/06/2020,2,6,2020,545,8,Afghanistan,AF,Asia
01/06/2020,1,6,2020,680,8,Afghanistan,AF,Asia
31/05/2020,31,5,2020,866,3,Afghanistan,AF,Asia
30/05/2020,30,5,2020,623,11,Afghanistan,AF,Asia
29/05/2020,29,5,2020,580,8,Afghanistan,AF,Asia
28/05/2020,28,5,2020,625,7,Afghanistan,AF,Asia
27/05/2020,27,5,2020,658,1,Afghanistan,AF,Asia
26/05/2020,26,5,2020,591,1,Afghanistan,AF,Asia
25/05/2020,25,5,2020,584,2,Afghanistan,AF,Asia
24/05/2020,24,5,2020,782,11,Afghanistan,AF,Asia
23/05/2020,23,5,2020,540,12,Afghanistan,AF,Asia
22/05/2020,22,5,2020,531,6,Afghanistan,AF,Asia
21/05/2020,21,5,2020,492,9,Afghanistan,AF,Asia
20/05/2020,20,5,2020,581,5,Afghanistan,AF,Asia
19/05/2020,19,5,2020,408,4,Afghanistan,AF,Asia
18/05/2020,18,5,2020,262,1,Afghanistan,AF,Asia
17/05/2020,17,5,2020,0,0,Afghanistan,AF,Asia
16/05/2020,16,5,2020,1063,32,Afghanistan,AF,Asia
15/05/2020,15,5,2020,113,6,Afghanistan,AF,Asia
14/05/2020,14,5,2020,259,3,Afghanistan,AF,Asia
13/05/2020,13,5,2020,280,5,Afghanistan,AF,Asia
12/05/2020,12,5,2020,285,2,Afghanistan,AF,Asia
11/05/2020,11,5,2020,369,5,Afghanistan,AF,Asia
10/05/2020,10,5,2020,255,6,Afghanistan,AF,Asia
09/05/2020,9,5,2020,215,3,Afghanistan,AF,Asia
08/05/2020,8,5,2020,171,2,Afghanistan,AF,Asia
07/05/2020,7,5,2020,168,9,Afghanistan,AF,Asia
06/05/2020,6,5,2020,330,5,Afghanistan,AF,Asia
05/05/2020,5,5,2020,190,5,Afghanistan,AF,Asia
04/05/2020,4,5,2020,235,13,Afghanistan,AF,Asia
03/05/2020,3,5,2020,134,4,Afghanistan,AF,Asia
02/05/2020,2,5,2020,164,4,Afghanistan,AF,Asia
01/05/2020,1,5,2020,222,4,Afghanistan,AF,Asia
30/04/2020,30,4,2020,122,0,Afghanistan,AF,Asia
29/04/2020,29,4,2020,124,3,Afghanistan,AF,Asia
28/04/2020,28,4,2020,172,0,Afghanistan,AF,Asia
27/04/2020,27,4,2020,68,10,Afghanistan,AF,Asia
26/04/2020,26,4,2020,112,4,Afghanistan,AF,Asia
25/04/2020,25,4,2020,70,1,Afghanistan,AF,Asia
24/04/2020,24,4,2020,105,2,Afghanistan,AF,Asia
23/04/2020,23,4,2020,84,4,Afghanistan,AF,Asia
22/04/2020,22,4,2020,61,1,Afghanistan,AF,Asia
21/04/2020,21,4,2020,35,2,Afghanistan,AF,Asia
20/04/2020,20,4,2020,88,3,Afghanistan,AF,Asia
19/04/2020,19,4,2020,63,0,Afghanistan,AF,Asia
18/04/2020,18,4,2020,51,1,Afghanistan,AF,Asia
17/04/2020,17,4,2020,10,4,Afghanistan,AF,Asia
16/04/2020,16,4,2020,70,2,Afghanistan,AF,Asia
15/04/2020,15,4,2020,49,2,Afghanistan,AF,Asia
14/04/2020,14,4,2020,58,3,Afghanistan,AF,Asia
13/04/2020,13,4,2020,52,0,Afghanistan,AF,Asia
12/04/2020,12,4,2020,34,3,Afghanistan,AF,Asia
11/04/2020,11,4,2020,37,0,Afghanistan,AF,Asia
10/04/2020,10,4,2020,61,1,Afghanistan,AF,Asia
09/04/2020,9,4,2020,56,3,Afghanistan,AF,Asia
